id,title,author,category,vendor_id,filename,summary,pixi,pre,pre2,pre3,veer,touchpad,touchpad_exclusive,luneos,adult,app_icon,app_icon_big
9882,"1+1=2 Feature Calculator","Ryan Gahl",Productivity,59440,ryan.gahl.1plus1calculator.tp_1.0.3_all.ipk,"""1+1=2"" is a slick calculator app with a ton of extras. There are now a ton of gorgeous skins to choose from with more on the way! There is a full size tape panel to keep track of your work as you go.",No,No,No,No,No,Yes,Yes,No,No,9882/icon/S/icon_1_0_3.png,9882/icon/icon_1_0_3.png
6434,"10 Ideas For A Cozy Night At Home",AppBookShop,Books,103555,com.appbookshop.epub.10ideasforacozynightathome_1.0.0_all.ipk,"These days more and more people are choosing to spend evenings at home with their loved ones rather than go out and spend money. The article “10 Ideas For A Cozy Night At Home” is filled with tips and",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6434/icon/S/icon_1_0_0.png,6434/icon/icon_1_0_0.png
4759,"10 Worst Celebrity Breakups",AppBookShop.com,Books,103555,com.appbookshop.epub.10worstcelebritybreakups_1.0.0_all.ipk,"Their exploits fill the pages of newspapers and gossip magazines.  People can’t stop discussing them on the Internet or at the coffee shop.  Celebrities’ every move captures the attention of people ev",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4759/icon/S/icon_1_0_0.png,4759/icon/icon_1_0_0.png
10699,"100 Facebook Shortcuts and Tips","Canny Technologies (Hyderabad)","Social Networking",116252,com.cannytech.facebookfortouchpad_1.0.1_all.ipk,"This App presents you with 100 shortcuts & tips which helps you to use Facebook more effectively & easily. These cool Shortcuts & tips helps you to save the time and are very beneficial for your priva",No,No,No,No,No,Yes,Yes,No,No,10699/icon/S/icon_1_0_1.png,10699/icon/icon_1_0_1.png
6975,"100 Good Wishes For Baby","Mobifusion Inc.",Lifestyle,103926,com.mobifusion.mobirdr.goodwishesforbaby_1.0.0_all.ipk,"Words are the keys to the heart - Chinese Proverb. 100 Good Wishes for Baby is the perfect way to welcome a new child into the world and congratulate new parents. Inspired by the Chinese tradition of",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6975/icon/S/icon_1_0_0.png,6975/icon/icon_1_0_0.png
6559,"100 Movies Must Watch","Canny Technologies (Hyderabad)",Entertainment,116252,com.cannytechnologies.100moviesmustwatch_1.0.0_all.ipk,"This App does not provide any movies . It only shows movie list and movie details.
But this App is very useful.This App lists 100 great movies that must be watched in ones life time. 
Keep this App fo",Yes,Yes,Yes,Yes,Yes,No,No,No,No,6559/icon/S/icon_1_0_0.png,6559/icon/icon_1_0_0.png
7725,"100 Novels Must Read","Canny Technologies (Hyderabad)",Reference,116252,com.cannytechnologies.novels_1.0.0_all.ipk,"It only shows best novels list and novel details. But this App is very useful.This App lists 100 great novels that must be read in ones life time. Keep this App for your reference. Walk into stores wi",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7725/icon/S/icon_1_0_0.png,7725/icon/icon_1_0_0.png
10617,"100 Shortcuts and Tips for Facebook","Canny Technologies (Hyderabad)","Social Networking",116252,com.cannytechnologies.facebookshortcuts_1.0.0_all.ipk,"This App presents you with 100 shortcuts & tips which helps you to use Facebook more effectively & easily. These cool Shortcuts & tips helps you to save the time and are very beneficial for your priva",Yes,Yes,Yes,Yes,Yes,No,No,No,No,10617/icon/S/icon_1_0_0.png,10617/icon/icon_1_0_0.png
3502,"100 Weight Loss Tips",AppBookShop,Books,103555,com.appbookshop.weightlosstips_1.0.0_all.ipk,"Extra weight spells illness, whether it is in the form of diabetes or a heart condition, it's bound to show up if you don't do something about it. This is your guide to losing that first 10 pounds tha",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3502/icon/S/icon48.png,3502/icon/icon48.png
8407,"100+ Horses (Keys)","TEARN media","Social Networking",84822,com.tearn.khorses2_5.1.1_all.ipk,"Love horses?

100+ breeds, 500+ pages, 800 best-of-the-best images, and 800 videos.

Play pictionary with bots. Search robots show images. You guess the horse.",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8407/icon/S/icon_5_1_1.png,8407/icon/icon_5_1_1.png
885,"1001 Bible Verses",XIMAD,Reference,56781,com.ximad.bibleverses_1.1.2_all.ipk,"This application offers a collection of over 1000 essential Bible verses on many important topics such as Faith, Relationships, Money & Possessions, Attitudes & Emotions, Sin & Temptation and much mor",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,885/icon/S/icon_1_1_2.png,885/icon/icon_1_1_2.png
9538,100MoviesMustWatch,cannytech,Books,116252,com.cannytech.100movies_1.0.0_all.ipk,"This App does not provide any movies . It only shows movie list and movie details.
But this App is very useful.This App lists 100 great movies that must be watched in ones life time. 
Keep this App fo",No,No,No,No,No,Yes,Yes,No,No,9538/icon/S/icon_1_0_0.png,9538/icon/icon_1_0_0.png
9535,100Novels,cannytech,Books,116252,com.cannytech.100novels_1.0.0_all.ipk,"100 Novels Must Read
It only shows best novels list and novel details. But this App is very useful.This App lists 100 great novels that must be read in ones life time. Keep this App for your reference",No,No,No,No,No,Yes,Yes,No,No,9535/icon/S/icon_1_0_0.png,9535/icon/icon_1_0_0.png
3250,"101 Ways to Emergency Cash",AppBookShop,Books,103555,com.appbookshop.generatingquickcash_1.0.0_all.ipk,"Financially, we are all a little different. Most of us need a little extra help from time to time, but where do we turn? We don't all have a rich uncle to ask for money. The truth is that there are ma",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3250/icon/S/icon48.png,3250/icon/icon48.png
8901,"12 Min Run","Infinite Appz","Health & Fitness",119484,com.infiniteappz.12minrun_1.1.0_all.ipk,"12 Min Run Calculator is very useful calculator for those who want to be fit.
    This app will takes a very few inputs like gender, age, distance.
    And this app will calculate your population avg,",Yes,Yes,No,No,Yes,Yes,No,No,No,8901/icon/S/icon_1_1_0.png,8901/icon/icon_1_1_0.png
9519,"123  Sesame Street","Sesame Street",Books,n132,com.scrollmotion.sesamestreet_1.0.1_all.ipk,"Now you can enjoy the beloved “Where is the Puppy” Book series from Sesame Workshop on your HP Touchpad! When Elmo sees a little black puppy on Sesame Street, he wants to find it a home – but first he has to catch it! Come with Elmo as he explores Sesame Street, meeting old friends, learning about the neighborhood, and looking for the little lost puppy. 

  ***

Where is the little lost puppy? Elmo thinks he may have gone into 123 Sesame Street, where Elmo’s pals Ernie and Bert live. Is the puppy in the kitchen? Or is he in the bathtub",No,No,No,No,No,Yes,Yes,No,No,9519/icon/S/icon_1_0_1.png,9519/icon/icon_1_0_1.png
1001091,"123 Zeichnen","Smart Kids On The Run",Education,15342,com.smartkidsontherun.123trace_3.0.1_all.ipk,"123 Zeichnen ist ein Spaß und spannende Weise den Kindern, wie man schreibt und lernen Sie die Zahlen 1 bis 20 zu unterrichten.

Jede Zahl ist finger nachvollziehbar und eine Zählung Übung, wenn abzuschließen. Indem sie ihre Finger zu verfolgen, werden sie das Erlernen der Form und Namen der Nummer. Diese App stärkt Auge, Hand, und Audio-Koordination.

Alle ursprüngliche Arbeit ist Künstler gezeichnet.

123 Zeichnen ist ein guter Weg, um zu lehren Ihr Kind die Zahlen und halten sie zur gleichen Zeit unterhalten.

Audio ist in Englisch.",No,No,No,No,No,Yes,Yes,No,No,1001091/icon/S/icon_3_0_0.png,1001091/icon/icon_3_0_0.png
3197,"125 Ways to Go Green","App Book Shop",Books,103555,com.appbookshop.125waystogogreen_1.0.0_all.ipk,"Whether you are looking for ways to help the nvironment or you want to know how to save money by using less hot water, Go Green and Save Green is for you! Never before have so many great tips and tric",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3197/icon/S/icon48.png,3197/icon/icon48.png
4596,"15 Minutes Abs Workout","Mobifusion Inc.","Health & Fitness",103926,com.mobifusion.mobirdr.fmfabsworkout_1.0.0_all.ipk,"15 minutes is all you need!  You have 15 minutes to shape up those abs of yours.  Get your 15 minute fitness coach now on your mobile!",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4596/icon/S/icon_1_0_0.png,4596/icon/icon_1_0_0.png
4597,"15 Minutes Dance Workout","Mobifusion Inc.","Health & Fitness",103926,com.mobifusion.mobirdr.fmfdanceworkout_1.0.0_all.ipk,"15 minutes is all you need!  You have 15 minutes to work out and have fun dancing.  Get your 15 minute fitness coach now on your mobile!",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4597/icon/S/icon_1_0_0.png,4597/icon/icon_1_0_0.png
6978,"15 Minutes Everyday Pilates","Mobifusion Inc.","Health & Fitness",103926,com.mobifusion.mobirdr.fmfeverydaypilates_1.0.0_all.ipk,"Pilates uses body mechanics, muscle contractions, and controlled breathing to strengthen the entire body and increase balance. 15 Minute Everyday Pilates combines four classic pilates exercises, each",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6978/icon/S/icon_1_0_0.png,6978/icon/icon_1_0_0.png
6979,"15 Minutes Gentle Yoga","Mobifusion Inc.","Health & Fitness",103926,com.mobifusion.mobirdr.fmfgentleyoga_1.0.0_all.ipk,"Life is hectic. Take a moment for your well-being. 15 Minute Gentle Yoga features fully illustrated, step-by-step instructions with 4 mini-workouts, each for a specific time of the day. Take just 15 m",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6979/icon/S/icon_1_0_0.png,6979/icon/icon_1_0_0.png
362,"15 Puzzle 21st Century","Sergey Markovich",Games,44122,com.sergeymarkovich.15puzzle21stcentury_1.0.0_all.ipk,"Classical 15 Puzzle was invented in 19th century and is a sliding puzzle that consists of a frame of numbered from 1 to 15 square tiles in random order with one tile missing. The object of the puzzle",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,362/icon/S/icon-small.png,362/icon/icon-small.png
8440,"150+ Economists (Keys)","TEARN media",Business,84822,com.tearn.kwhoecon_5.1.1_all.ipk,"Crowd-sourced best-of-the-best articles and videos from the top 150, must-know economists. 

Use the pictionary with bots game to help with memorization. Robots show pictures. You guess the economist.",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8440/icon/S/icon_5_1_1.png,8440/icon/icon_5_1_1.png
4024,"1500 Ringtones Unlimited","MobGen Inc.",Entertainment,92944,com.mobgen.app.1500ringtonesunlimited_2.2.0_all.ipk,"Get the #1 paid Palm Ringtone App ""1500 RINGTONES UNLIMITED"" and get unlimited downloads!  Purchasing this application gives you access to over 1,500 Palm ringtones for the price of 1 ringtone.  No su",Yes,Yes,No,No,Yes,Yes,No,No,No,4024/icon/S/icon_2_2_0.png,4024/icon/icon_2_2_0.png
3497,"151 Ultimate Beauty Secrets",AppBookShop,Books,103555,com.appbookshop.ultimatebeautysecrets_1.0.0_all.ipk,"From magazines to TV everyone's got an opinion about beauty. There are tips, tricks, and secrets that may or may not work. Women flaunt gorgeous skin and silky hair, but the products they say work jus",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3497/icon/S/icon48.png,3497/icon/icon48.png
6111,"16 Candles SB","Demetry Gutierrez",Entertainment,37867,com.demetrygutierrez.app.16candles_1.1.0_all.ipk,"This is a soundboard for the movie 16 Candles.

A young girl's ""sweet sixteenth"" birthday becomes anything but special as she suffers from every embarrassment possible.",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6111/icon/S/icon_1_1_0.png,6111/icon/icon_1_1_0.png
7297,"2 B R 0 2 B - Audiobook","Appible LLC",Books,n41,com.appible.2br02baudio_1.0.0_all.ipk,"In this app you can download & store chapters for listening without an internet connection, perhaps on your next flight or road trip. These audiobooks are great for your commute, long trips, hours at the gym or to just listen while washing the dishes.

Kurt Vonnegut, Jr. was a prolific and genre-bending American novelist known for works blending satire, black comedy, and science fiction, such as Slaughterhouse-Five, Cat’s Cradle, and Breakfast of Champions. 2 B R 0 2 B is a satiric short story that imagines life (and death) in a future world where aging has been “cured” and population control",Yes,Yes,Yes,Yes,Yes,No,No,No,No,7297/icon/S/icon1_0_0.png,7297/icon/icon1_0_0.png
7054,"2 B R 0 2 B - Plus","Appible LLC",Books,n41,com.appible.2br02baudiotext_1.0.0_all.ipk,"This Plus version of 2 B R 0 2 B includes both audio and text so you can follow along or read without the audio.

In this app you can download & store chapters for listening without an internet connection, perhaps on your next flight or road trip. These audiobooks are great for your commute, long trips, hours at the gym or to just listen while washing the dishes.

Kurt Vonnegut, Jr. was a prolific and genre-bending American novelist known for works blending satire, black comedy, and science fiction, such as Slaughterhouse-Five, Cat’s Cradle, and Breakfast of Champions. 2 B R 0",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7054/icon/S/icon1_0_0.png,7054/icon/icon1_0_0.png
9928,"2. Bundesliga Live&#x2011;/12",Minderleister,Sports,110292,com.minderleister.2bundesligalive11_1.0.1_all.ipk,"2. BUNDESLIGA LIVE 2011/12 bringt dir alle Infos über die 2. Liga Saison 2011/12 auf dein webOS Gerät. Folgendes ist enthalten: 
*** Live ticker für jedes Spiel oder als Konferenz (Tore, Karten & Elfmeter) 
*** Spielplan für die Saison mit Spielzeiten in deiner lokalen Zeitzone 
*** aktuelle Tabelle (mit Live-Updates während der Spieltage)
*** Tabellenverlauf während der Saison 
*** historische Ligaergebnisse 
*** ewige Tabelle 
*** Torjägerstatistik
*** Infos zu allen Stadien
*** Spielzeiten in den Kalender exportieren 

***Update: Diese App funktioniert auf dem Pre3, ist aber nicht für diese Screengröße optimiert.***
ÜBER UNS: Seit es Palm webOS gibt machen wir Apps rund um Fußball.",Yes,Yes,Yes,Yes,Yes,No,No,No,No,9928/icon/S/icon_1_0_1.png,9928/icon/icon_1_0_1.png
6957,"20 Chinups","Infinite Appz","Health & Fitness",119484,com.infiniteappz.20chinups_1.3.0_all.ipk,"######## 50% OFF #########
•	Chinups are the, one of the best exercise for muscles of the chest, arms and core development. 
•	If you're very serious about increasing your strength, follow this six we",Yes,Yes,No,No,Yes,Yes,No,No,No,6957/icon/S/icon_1_3_0.png,6957/icon/icon_1_3_0.png
8705,"20,000 Leagues Under The Sea","Mobifusion Inc.",Books,103926,com.mobifusion.mobirdr.20000leaguesunderthesea_1.0.0_all.ipk,"20,000 Leagues Under the Sea is a classic science fiction novel written in 1869 by French author Jules Verne. It is the story of Captain Nemo and his submarine Nautilus. Noted for its exotic situation",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8705/icon/S/icon_1_0_0.png,8705/icon/icon_1_0_0.png
8982,"200 Chinese Recipes","Mobifusion Inc.",Lifestyle,103926,com.mobifusion.mobirdr.200chineserecipes_1.1.0_all.ipk,"The perfect app for foodies that love the spices and flavors of authentic Chinese food!",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,8982/icon/S/icon_1_1_0.png,8982/icon/icon_1_1_0.png
6955,"200 Situps","Infinite Appz","Health & Fitness",119484,com.infiniteappz.200situps_1.3.0_all.ipk,"******** 50% OFF *********
•	Situps are the, one of the best exercise for increasing your core strength, fitness and general health. 
•	If you're very serious about increasing your strength, follow th",Yes,Yes,No,No,Yes,Yes,No,No,No,6955/icon/S/icon_1_3_0.png,6955/icon/icon_1_3_0.png
6956,"200 Squats","Infinite Appz","Health & Fitness",119484,com.infiniteappz.200squats_1.3.0_all.ipk,"******** 50% OFF *********
•	Squats are the, one of the best exercise for increasing your core strength, fitness and general health. 
•	If you're very serious about increasing your strength, follow th",Yes,Yes,No,No,Yes,Yes,No,No,No,6956/icon/S/icon_1_3_0.png,6956/icon/icon_1_3_0.png
6829,"2011 Australia Calendar","Canny Technologies (Hyde&#xabad;)",Productivity,n94,com.cannytechnologies.2011australiacalendar_1.0.0_all.ipk,"Brand new Australia 2011 calendar App comes with Australia 2011 calendar , Australia Public holiday's list (for all) , state wise holiday's list and Holidays count downs.",Yes,Yes,Yes,Yes,Yes,No,No,No,No,6829/icon/S/icon_1_0_0.png,6829/icon/icon_1_0_0.png
4062,"2011 Funniest Ringtones","MobGen, Inc.",Entertainment,92944,com.mobgen.app.2010funniestringtones_2.2.0_all.ipk,"Download 2011 Funniest Ringtones and get the funniest collection of ringtones to keep you and your friends laughing everytime your Palm phone rings.  Select from Funny chipmunks, cute princesses, naug",Yes,Yes,No,No,Yes,Yes,No,No,No,4062/icon/S/icon_2_2_0.png,4062/icon/icon_2_2_0.png
6830,"2011 UK Calendar","Canny Technologies (Hyde&#xabad;)",Productivity,n94,com.cannytechnologies.2011ukcalendar_1.0.0_all.ipk,"Brand new UK 2011 calendar App comes with UK 2011 calendar , Uk bank holiday's list (for England & Wales ,Scotland ,Northern Ireland) and Holidays count downs.",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6830/icon/S/icon_1_0_0.png,6830/icon/icon_1_0_0.png
6792,"2011 US Calendar","Canny Technologies (Hyde&#xabad;)",Reference,n94,com.cannytechnologies.2011uscalendar_1.0.0_all.ipk,"Brand new US 2011 calendar App comes with US 2011 calendar, US federal holiday list,
statewise holiday list and holidays count downs.",Yes,Yes,Yes,Yes,Yes,No,No,No,No,6792/icon/S/icon_1_0_0.png,6792/icon/icon_1_0_0.png
4952,"2012 – What Will Really Happen",AppBookShop.com,Reference,103555,com.appbookshop.epub.2012whatwillreallyhappen_1.0.0_all.ipk,"There has been a lot of speculation and hysteria surrounding the year 2012.  Many believe that it will signal the end of the world based on the ancient Mayan Calendar ending with 2012.  Others discuss",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4952/icon/S/icon_1_0_0.png,4952/icon/icon_1_0_0.png
6575,"2012 Countdown","37th Street Technologies",Entertainment,347,com.37tech.2012countdown_1.0.0_all.ipk,"Some people think that the world will end December 21, 2012.  What do you think? Here is a countdown that will let us know exactly how long we have before our planet is destroyed! Keep this handy and",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6575/icon/S/icon_1_0_0.png,6575/icon/icon_1_0_0.png
1000963,"2012 Football Score Predictions","Dark Horse Communications",Sports,206897,com.darkhorseapps.footballcombo2012_1.0.0_all.ipk,"Professional Poker Player and sports handicapper Tin8shusd shares his rankings and game score predictions in his 2012 prediction app.  He gives you his handicaps for both NFL and NCAA football games t",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1000963/icon/S/icon_1_0_0.png,1000963/icon/icon_1_0_0.png
2397,20minutes.fr,20minutes.fr,News,n51,com.backelite.20minutes_1.0.0_all.ipk,"Application Palm 20minutes.fr",Yes,Yes,Yes,Yes,Yes,No,No,No,No,2397/icon/S/smallIcon.png,2397/icon/smallIcon.png
785,"20Q Mind Reader","Digital Chocolate",Games,65481,com.digitalchocolate.20q_1.0.3_all.ipk,"I can read your mind…the award-winning web phenomenon 20Q comes to mobile! Think of a word and 20Q will know it – you have to see it to believe it!",No,Yes,Yes,Yes,No,Yes,No,No,No,785/icon/S/iconMindReader48x48.png,785/icon/iconMindReader48x48.png
4107,"25 Party Drinks","Kat Apps",Lifestyle,93251,com.mycompany.bartender_1.0.0_all.ipk,"Gives you 25 of the most popular party drinks.  We tell you what to put in them and give you detailed instructions on how to make them.  Now anybody can be a bartender!",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,4107/icon/S/small.jpg,4107/icon/small.jpg
9243,"3 Willows","ScrollMotion, Inc.",Books,n120,com.scrollmotion.a3willowsthesisterhoodgrows-9780385738132-rh_0.9.9_all.ipk,"summer is a time to grow seedsPolly has an idea that she can't stop thinking about, one that involves changing a few things about herself. She's setting her sights on a more glamorous life, but it's going to take all of her focus. At least that way she won't have to watch her friends moving so far ahead.rootsJo is spending the summer at her family's beach house, working as a busgirl and bonding with the older, cooler girls she'll see at high school come September. She didn't count on a brief fling with a cute boy changing her entire summer.",No,No,No,No,No,Yes,Yes,No,No,9243/icon/S/icon_0_9_9.png,9243/icon/icon_0_9_9.png
5654,"300 Soundboard","Soundboard Masters",Entertainment,n80,com.soundboardmasters.300soundboard_1.1.3_all.ipk,"SPARTANS....WHAT IS YOUR PROFESSION? Enjoy this and over 20 other classic quotes from 300.",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5654/icon/S/icon_1_1_3.png,5654/icon/icon_1_1_3.png
1076,"3001 Wisdom Quotes",XIMAD,Reference,56781,com.ximad.wq_1.1.2_all.ipk,"CAUTION... EXTREMELY INSPIRING AND ADDICTIVE!

This PREMIUM application offers over 3000 of the most insightful and inspiring quotes by the world's greatest leaders and thinkers: Aristotle, Nietzsche,",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1076/icon/S/icon_1_1_2.png,1076/icon/icon_1_1_2.png
1978,"365 Foreign Dishes","Appible LLC",Books,n41,com.appible.365foreigndishes_1.5.8_all.ipk,"A dish from around the World for every day of the year. Includes such dishes as Bavarian Bear Pudding, Egyptain Cabbage, Russian Pancakes, Swiss Baked Eggs, Boulettes just to name a few.",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1978/icon/S/icon_1_5_8.png,1978/icon/icon_1_5_8.png
1001,"3D Plotter",SpeedyMarks,Productivity,44435,com.speedymarks.palmpre.3dplotter_1.0.3_all.ipk,"Plot graphs of 2-dimensional functions in 3D. Enter your formula and the range you want to plot and change the color scheme.

Version 1.0.2: Bug fix for webOS 1.4",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1001/icon/S/icon_1_0_3.png,1001/icon/icon_1_0_3.png
1001136,"3D Tet Pro",st@eding,Games,138453,de.eding.dddtetrispro_1.0.0.ipk,"The ultimate game for Tetris® and Blockout® fans.
Goal of the game is to complete a layer with blocks without gap which will cause the layer to disappear. With ongoing time this will become more and m",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1001136/icon/S/icon_1_0_0.png,1001136/icon/icon_1_0_0.png
